quote_id,text,attribution,meaning,sort_order,active
q_001,案ずるより産むが易し,日本のことわざ,"事前のアレコレ悩む不安よりも、いざやってみると案外うまくいくものである。",1,TRUE
q_002,虎穴に入らずんば虎子を得ず,後漢書,"危険な場所（虎の穴）に飛び込む勇気がなければ、大きな成果（虎の子）は得られない。",2,TRUE
q_003,千里の道も一歩から,老子,"どんなに遠大な目標でも、足元の確かな第一歩からすべては始まる。",3,TRUE
q_004,思い立ったが吉日,日本のことわざ,"何かを始めようと決心したその日こそが、物事を始めるのに最適な日である。",4,TRUE
q_005,迷った時は困難な道を選べ,岡本太郎,"楽な道は停滞を生む。あえて厳しい方を選ぶことが、自己の爆発と成長に繋がる。",5,TRUE
q_006,行動こそが不安を打ち消す唯一の手段だ,デール・カーネギー,"悩みは立ち止まっている時に増大する。動くことで、不安は確信へと変わる。",6,TRUE
q_007,"失敗したことがない人間は、何も新しいことに挑戦していない人間だ",アインシュタイン,"失敗は「ミス」ではなく「挑戦の証」。恐れずに挑み続ける姿勢こそが重要。",7,TRUE
q_008,"人生は自転車に乗るようなものだ。バランスを保つためには、走り続けなければならない",アインシュタイン,"立ち止まれば倒れてしまう。常に変化し、進み続けることが安定を生む秘訣。",8,TRUE
q_009,PKを外すことができるのは、PKを蹴る勇気を持った者だけだ,ロベルト・バッジョ,"批判されるのは挑戦した証拠。舞台にすら立たない者に、成功も失敗も語れない。",9,TRUE
q_010,"やってみせ、言って聞かせて、させてみせ、ほめてやらねば、人は動かじ",山本五十六,"指導の本質。自ら手本を示し、信頼を築き、相手を尊重して初めて心は動く。",10,TRUE
q_011,生きるとは呼吸することではない。行動することだ,ジャン＝ジャック・ルソー,"単に存在しているだけではなく、目的を持って熱く活動することに命の意味がある。",11,TRUE
q_012,凧が一番高く上がるのは、風に向かっている時である。風に乗っている時ではない,ウィンストン・チャーチル,"逆風（困難）こそが、自分を最も高い場所へ押し上げてくれるエネルギーになる。",12,TRUE
q_013,最大のリスクは、リスクを取らないことだ。,マーク・ザッカーバーグ,"変化の激しい現代では、現状維持を目指すことが最大の「負け」に繋がる。",13,TRUE
q_014,明日死ぬかのように生きよ。永遠に生きるかのように学べ,マハトマ・ガンジー,"今この瞬間を全力で燃やし、同時に知識への渇望を一生持ち続けよ。",14,TRUE
q_015,"最も大きな危険は、目標が高すぎて達成できないことではない。目標が低すぎて達成してしまうことだ",ミケランジェロ,"自分の限界を勝手に決めず、常に高い理想を掲げて自分を律せよ。",15,TRUE
q_016,一期一会,千利休（茶道）,"この出会いは一生に一度限り。二度と繰り返せない今を、最高のおもてなしで迎えよ。",16,TRUE
q_017,勇猛果敢,四字熟語,"勇ましく、強い決断力を持って、迷わずに物事に取り組む姿勢。",17,TRUE
q_018,不撓不屈,四字熟語,"どんなに強い力で押さえつけられても、決して屈せず、志を曲げないこと。",18,TRUE
q_019,不言実行,四字熟語,"あれこれ理屈を並べる前に、黙ってなすべきことをやり遂げ、結果で示すこと。",19,TRUE
q_020,百聞は一見に如かず,漢書,"人から百回聞くよりも、自分自身の目で一度見る方が、遥かに真実を理解できる。",20,TRUE
q_021,先んずれば人を制す,史記,"人に遅れることなく、自ら先手を打つことで、物事の主導権を握ることができる。",21,TRUE
q_022,待っていては何も始まらない。自分から掴みに行け,ゲーテ,"チャンスが来るのを待つ時間は無駄。自ら行動し、運命を無理矢理こじ開けよ。",22,TRUE
q_023,運命は勇者に微笑む,ウェルギリウス,"恐怖を克服し、勇気を持って一歩踏み出した者にだけ、勝利の女神は味方する。",23,TRUE
q_024,"虹を見たければ、ちょっとやそっとの雨は我慢しなくちゃ",ドリー・パートン,"素晴らしい結果（虹）の前には、必ず耐え忍ぶべき苦難（雨）がある。",24,TRUE
q_025,一寸先は光,日本の格言,"「一寸先は闇」の逆。未来には何が起こるか分からないからこそ、希望がある。",25,TRUE
q_026,塵も積もれば山となる,日本のことわざ,"どんなに小さな努力も、毎日欠かさず続ければ、いつか巨大な力になる。",26,TRUE
q_027,継続は力なり,日本の格言,"始めたことを途中で投げ出さず、やり遂げる習慣こそが、最大の才能である。",27,TRUE
q_028,石の上にも三年,日本のことわざ,"つらく苦しい時期でも、我慢強く続ければ、必ず道が開け、成果が出る。",28,TRUE
q_029,精神一到何事か成らざらん,朱子（朱熹）,"心を一つに集中して取り組めば、この世に不可能なことなど何一つない。",29,TRUE
q_030,"為せば成る、為さねば成らぬ何事も、成らぬは人の為さぬなりけり",上杉鷹山,"できないのは能力がないからではなく、やろうとしないからだ、という自戒。",30,TRUE
q_031,"天才とは、1%のひらめきと99%の努力である",トーマス・エジソン,"ひらめきを形にするのは、執念に近い圧倒的な試行錯誤の量である。",31,TRUE
q_032,努力できるということも実力のうちだ,羽生善治,"飽きずに、粘り強く努力を継続できること自体が、一つの稀有な才能である。",32,TRUE
q_033,夢を掴むことというのは、一歩一歩の積み重ねでしかない,イチロー,"魔法のような飛躍はない。遠くへ行く唯一の方法は、地味な一歩を刻むこと。",33,TRUE
q_034,他人の100倍歩く。それが僕のやり方だ,孫正義,"常識的な努力では常識的な結果しか出ない。突き抜けるには圧倒的な量が必要。",34,TRUE
q_035,"壁というのは、できる人にしかやってこない。超えられる可能性がある人にしかやってこない",イチロー,"困難は、あなたがそれを乗り越えるステージに立ったという「合格通知」である。",35,TRUE
q_036,雨垂れ石を穿つ,漢書,"小さな雨粒でも、長い年月同じ場所に落ち続ければ、固い岩に穴をあける。",36,TRUE
q_037,点と点はいつか繋がる（Connecting the dots）,スティーブ・ジョブズ,"今の無駄に見える経験も、未来のどこかで必ず意味を持つ。信じて進め。",37,TRUE
q_038,一意専心,四字熟語,"雑念を払い、一つの目標、一つの作業に全神経を集中させること。",38,TRUE
q_039,粉骨砕身,四字熟語,"骨を粉にし、身を砕くほど、力の限りを尽くして任務を遂行すること。",39,TRUE
q_040,臥薪嘗胆,史記,"悔しさや苦労を忘れないよう自分を追い込み、目的を果たすまで耐え忍ぶこと。",40,TRUE
q_041,七転八起,四字熟語,"七回倒れても八回起き上がる。失敗の数より一回多く立ち上がれば勝ち。",41,TRUE
q_042,愚公山を移す,列子,"途方もない計画でも、根気強く続ければ、ついには神（運命）をも動かす。",42,TRUE
q_043,今日の成果は、昨日の努力の結果である,ピーター・ドラッカー,"過去の蓄積が今を作っている。未来を変えたいなら、今日を変えるしかない。",43,TRUE
q_044,努力は運の幅を広げてくれる,ブルーピリオド,"運を待つのではなく、運が転がってきた時に拾える場所まで移動するのが努力。",44,TRUE
q_045,"努力した者が全て報われるとは限らん。しかし、成功した者は皆すべからく努力しておる",はじめの一歩（鴨川会長）,"努力は成功の「保証」ではないが、最低限の「入場券」である。",45,TRUE
q_046,少しずつでいい、前に進め。絶望するな,竈門炭治郎（鬼滅の刃）,"どんなに打ちのめされても、自分にできる最小単位の行動を積み重ねろ。",46,TRUE
q_047,勝つまでやり続ければ、負けはない,松下幸之助,"成功するまでやめなければ、すべての失敗は「過程」という名前に変わる。",47,TRUE
q_048,「いつか」ではなく「今」始めろ,日本の格言,"準備が整うのを待っていては一生終わる。不完全なまま走り出せ。",48,TRUE
q_049,水滴りて石を穿つ,日本のことわざ,"（36番と同様）継続が不可能を可能にするという物理的な真理。",49,TRUE
q_050,自分自身を裏切らない努力の姿勢が、未来の結果として現れてくる,日本の格言,"他人の目は誤魔化せても、自分の目は誤魔化せない。自分に誇れる日々を。",50,TRUE
